n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;10;-1262.85136425;-1230.49909144;0.48396837;0.04049438
3;7;-1266.02083993;-1238.64583986;0.47489848;0.03983107
4;12;-1265.04807165;-1222.74125337;0.27158624;0.03185435
5;8;-1270.61331321;-1235.77240403;0.25449642;0.03169656
6;7;-1274.98996004;-1240.14905086;0.24165614;0.02928364
7;6;-1275.40119387;-1240.56028469;0.24055063;0.02888253
8;5;-1272.99118326;-1238.15027408;0.24978360;0.03116921
9;4;-1274.57185542;-1239.73094624;0.24202674;0.02904713
10;5;-1271.07594963;-1231.25776771;0.24754769;0.02874233
11;5;-1267.74407842;-1225.43726014;0.25397893;0.02955647
12;4;-1268.90556099;-1226.59874270;0.25125042;0.02903850
13;5;-1265.57491436;-1218.29082334;0.25938895;0.02906116
14;4;-1261.21020421;-1213.92611319;0.27094028;0.03153007
15;4;-1262.21312182;-1212.44039442;0.26318522;0.02933123
16;4;-1256.24454523;-1203.98318146;0.28308347;0.03189117
17;4;-1257.53823706;-1202.78823692;0.27220938;0.02981313
18;4;-1254.96652027;-1197.72788376;0.27754312;0.03040719
19;4;-1266.44551314;-1206.71824027;0.24997203;0.03033046
20;4;-1263.07002728;-1200.85411804;0.25879878;0.03063487
21;9;-1253.60534061;-1176.45761315;0.27420240;0.03013386
22;2;-1250.19890063;-1187.98299138;0.29103759;0.03231303
23;2;-1246.69629150;-1181.99174589;0.31458457;0.03172922
24;2;-1245.00248419;-1177.80930220;0.31284825;0.03248943
25;2;-1242.42522699;-1172.74340863;0.32036821;0.03329728
26;2;-1240.22019998;-1168.04974526;0.32523498;0.03350818
27;3;-1236.15486974;-1159.00714228;0.33968797;0.03317897
28;2;-1239.91100492;-1162.76327746;0.31279115;0.03033868
